country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2025-12-21,TV,10,City of Shadows,City of Shadows: Limited Series,1
Brazil,BR,2025-12-14,TV,1,Man Vs Baby,Man Vs Baby: Season 1,1
Brazil,BR,2025-12-14,TV,2,Stranded with my Mother-in-Law,Stranded with my Mother-in-Law: Season 3,2
Brazil,BR,2025-12-14,TV,3,Stranger Things,Stranger Things 5,3
Brazil,BR,2025-12-14,TV,4,Dynamite Kiss,Dynamite Kiss: Limited Series,5
Brazil,BR,2025-12-14,TV,5,The Abandons,The Abandons: Season 1,2
Brazil,BR,2025-12-14,TV,6,Record of Ragnarok,Record of Ragnarok: Season 3,1
Brazil,BR,2025-12-14,TV,7,Rulers of Fortune,Rulers of Fortune: Season 1,7
Brazil,BR,2025-12-14,TV,8,Stranger Things,Stranger Things 3,10
Brazil,BR,2025-12-14,TV,9,Stranger Things,Stranger Things 4,12
Brazil,BR,2025-12-14,TV,10,Stranger Things,,12
Brazil,BR,2025-12-07,TV,1,Stranger Things,Stranger Things 5,2
Brazil,BR,2025-12-07,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,4
Brazil,BR,2025-12-07,TV,3,Stranded with my Mother-in-Law,Stranded with my Mother-in-Law: Season 3,1
Brazil,BR,2025-12-07,TV,4,Stranger Things,,11
Brazil,BR,2025-12-07,TV,5,The Abandons,The Abandons: Season 1,1
Brazil,BR,2025-12-07,TV,6,Stranger Things,Stranger Things 2,11
Brazil,BR,2025-12-07,TV,7,Talamasca: The Secret Order,Talamasca: The Secret Order: Season 1,1
Brazil,BR,2025-12-07,TV,8,Stranger Things,Stranger Things 3,9
Brazil,BR,2025-12-07,TV,9,Rulers of Fortune,Rulers of Fortune: Season 1,6
Brazil,BR,2025-12-07,TV,10,The Rats: A Witcher Tale,,1
Brazil,BR,2025-11-30,TV,1,Stranger Things,Stranger Things 5,1
Brazil,BR,2025-11-30,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,3
Brazil,BR,2025-11-30,TV,3,Stranger Things,,10
Brazil,BR,2025-11-30,TV,4,Rulers of Fortune,Rulers of Fortune: Season 1,5
Brazil,BR,2025-11-30,TV,5,Stranger Things,Stranger Things 2,10
Brazil,BR,2025-11-30,TV,6,Stranger Things,Stranger Things 4,11
Brazil,BR,2025-11-30,TV,7,Absentia,Absentia: Season 1,3
Brazil,BR,2025-11-30,TV,8,Stranger Things,Stranger Things 3,8
Brazil,BR,2025-11-30,TV,9,Absentia,Absentia: Season 2,2
Brazil,BR,2025-11-30,TV,10,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,123
Brazil,BR,2025-11-23,TV,1,Rulers of Fortune,Rulers of Fortune: Season 1,4
Brazil,BR,2025-11-23,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,2
Brazil,BR,2025-11-23,TV,3,Absentia,Absentia: Season 1,2
Brazil,BR,2025-11-23,TV,4,The Beast in Me,The Beast in Me: Limited Series,1
Brazil,BR,2025-11-23,TV,5,Absentia,Absentia: Season 2,1
Brazil,BR,2025-11-23,TV,6,The Crystal Cuckoo,The Crystal Cuckoo: Limited Series,1
Brazil,BR,2025-11-23,TV,7,Last Samurai Standing,Last Samurai Standing: Season 1,2
Brazil,BR,2025-11-23,TV,8,Stranger Things,,9
Brazil,BR,2025-11-23,TV,9,Gabby's Dollhouse,Gabby's Dollhouse: Season 12,1
Brazil,BR,2025-11-23,TV,10,Stranger Things,Stranger Things 2,9
Brazil,BR,2025-11-16,TV,1,Rulers of Fortune,Rulers of Fortune: Season 1,3
Brazil,BR,2025-11-16,TV,2,Dynamite Kiss,Dynamite Kiss: Limited Series,1
Brazil,BR,2025-11-16,TV,3,As You Stood By,As You Stood By: Limited Series,2
Brazil,BR,2025-11-16,TV,4,Last Samurai Standing,Last Samurai Standing: Season 1,1
Brazil,BR,2025-11-16,TV,5,Absentia,Absentia: Season 1,1
