country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2025-11-23,Films,2,In Your Dreams,,2
Brazil,BR,2025-11-23,Films,3,The Little Things,,2
Brazil,BR,2025-11-23,Films,4,Furiosa: A Mad Max Saga,,1
Brazil,BR,2025-11-23,Films,5,Frankenstein,,3
Brazil,BR,2025-11-23,Films,6,A Man Called Otto,,1
Brazil,BR,2025-11-23,Films,7,65,,1
Brazil,BR,2025-11-23,Films,8,Eloá the Hostage: Live on TV,,2
Brazil,BR,2025-11-23,Films,9,Christmas Under the Northern Lights,,1
Brazil,BR,2025-11-23,Films,10,The Good Liar,,1
Brazil,BR,2025-11-16,Films,1,Frankenstein,,2
Brazil,BR,2025-11-16,Films,2,Eloá the Hostage: Live on TV,,1
Brazil,BR,2025-11-16,Films,3,The Little Things,,1
Brazil,BR,2025-11-16,Films,4,Mango,,2
Brazil,BR,2025-11-16,Films,5,A Merry Little Ex-Mas,,1
Brazil,BR,2025-11-16,Films,6,The Best Mother in the World,,2
Brazil,BR,2025-11-16,Films,7,Focus,,1
Brazil,BR,2025-11-16,Films,8,A Time to Kill,,1
Brazil,BR,2025-11-16,Films,9,In Your Dreams,,1
Brazil,BR,2025-11-16,Films,10,Shrek Forever After,,2
Brazil,BR,2025-11-09,Films,1,Frankenstein,,1
Brazil,BR,2025-11-09,Films,2,Shrek Forever After,,1
Brazil,BR,2025-11-09,Films,3,The Woman in the Line,,2
Brazil,BR,2025-11-09,Films,4,The Best Mother in the World,,1
Brazil,BR,2025-11-09,Films,5,Mango,,1
Brazil,BR,2025-11-09,Films,6,Jack Reacher: Never Go Back,,2
Brazil,BR,2025-11-09,Films,7,A HOUSE OF DYNAMITE,,3
Brazil,BR,2025-11-09,Films,8,Caramelo,,5
Brazil,BR,2025-11-09,Films,9,Shrek,,4
Brazil,BR,2025-11-09,Films,10,KPop Demon Hunters,,21
Brazil,BR,2025-11-02,Films,1,A HOUSE OF DYNAMITE,,2
Brazil,BR,2025-11-02,Films,2,Caramelo,,4
Brazil,BR,2025-11-02,Films,3,KPop Demon Hunters,,20
Brazil,BR,2025-11-02,Films,4,The Elixir,,2
Brazil,BR,2025-11-02,Films,5,Don't Say a Word,,2
Brazil,BR,2025-11-02,Films,6,A Woman with No Filter,,3
Brazil,BR,2025-11-02,Films,7,The Woman in the Line,,1
Brazil,BR,2025-11-02,Films,8,The Secret Life of Pets 2,,9
Brazil,BR,2025-11-02,Films,9,Ballad of a Small Player,,1
Brazil,BR,2025-11-02,Films,10,Shrek,,3
Brazil,BR,2025-10-26,Films,1,Caramelo,,3
Brazil,BR,2025-10-26,Films,2,A HOUSE OF DYNAMITE,,1
Brazil,BR,2025-10-26,Films,3,The Elixir,,1
Brazil,BR,2025-10-26,Films,4,A Woman with No Filter,,2
Brazil,BR,2025-10-26,Films,5,The Twits,,2
Brazil,BR,2025-10-26,Films,6,The Woman in Cabin 10,,3
Brazil,BR,2025-10-26,Films,7,Don't Say a Word,,1
Brazil,BR,2025-10-26,Films,8,KPop Demon Hunters,,19
Brazil,BR,2025-10-26,Films,9,Green Lantern,,1
Brazil,BR,2025-10-26,Films,10,The Perfect Neighbor,,2
Brazil,BR,2025-10-19,Films,1,Caramelo,,2
Brazil,BR,2025-10-19,Films,2,The Woman in Cabin 10,,2
Brazil,BR,2025-10-19,Films,3,A Woman with No Filter,,1
Brazil,BR,2025-10-19,Films,4,KPop Demon Hunters,,18
Brazil,BR,2025-10-19,Films,5,Inside Furioza,,1
Brazil,BR,2025-10-19,Films,6,Migration,,3
Brazil,BR,2025-10-19,Films,7,The Twits,,1
Brazil,BR,2025-10-19,Films,8,The Secret Life of Pets 2,,8
Brazil,BR,2025-10-19,Films,9,The Perfect Neighbor,,1
Brazil,BR,2025-10-19,Films,10,Godzilla x Kong: The New Empire,,3
Brazil,BR,2025-10-12,Films,1,Caramelo,,1
Brazil,BR,2025-10-12,Films,2,The Woman in Cabin 10,,1
Brazil,BR,2025-10-12,Films,3,Godzilla x Kong: The New Empire,,2
Brazil,BR,2025-10-12,Films,4,Migration,,2
Brazil,BR,2025-10-12,Films,5,The Mask,,2
Brazil,BR,2025-10-12,Films,6,KPop Demon Hunters,,17
Brazil,BR,2025-10-12,Films,7,"Lyle, Lyle, Crocodile",,1
Brazil,BR,2025-10-12,Films,8,Scary Movie,,2
Brazil,BR,2025-10-12,Films,9,Ruth & Boaz,,3
Brazil,BR,2025-10-12,Films,10,French Lover,,3
Brazil,BR,2025-10-05,Films,1,Ruth & Boaz,,2
Brazil,BR,2025-10-05,Films,2,French Lover,,2
Brazil,BR,2025-10-05,Films,3,Godzilla x Kong: The New Empire,,1
Brazil,BR,2025-10-05,Films,4,KPop Demon Hunters,,16
Brazil,BR,2025-10-05,Films,5,Sonic the Hedgehog 3,,3
Brazil,BR,2025-10-05,Films,6,Migration,,1
Brazil,BR,2025-10-05,Films,7,Open Season 2,,1
Brazil,BR,2025-10-05,Films,8,Mantis,,1
